guard violation: {'reason': 'velocity', 'requested': 1.0, 'clamped': 0.041625, 'axis': 'gripper', 'seq': 1}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.016665000468492508, 'joint': 8, 'seq': 214}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.01716499961912632, 'joint': 7, 'seq': 215}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.01716499961912632, 'joint': 8, 'seq': 216}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.017664998769760132, 'joint': 7, 'seq': 217}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.017664998769760132, 'joint': 8, 'seq': 218}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.018164997920393944, 'joint': 7, 'seq': 219}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.018164997920393944, 'joint': 8, 'seq': 220}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.018664997071027756, 'joint': 7, 'seq': 221}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.018664997071027756, 'joint': 8, 'seq': 222}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.019164996221661568, 'joint': 7, 'seq': 223}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.019164996221661568, 'joint': 8, 'seq': 224}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.01966499537229538, 'joint': 7, 'seq': 225}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.01966499537229538, 'joint': 8, 'seq': 226}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.02016499452292919, 'joint': 7, 'seq': 227}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.02016499452292919, 'joint': 8, 'seq': 228}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.020664993673563004, 'joint': 7, 'seq': 229}
